user_id,feature_name,first_used_date,days_after_signup
1,Smart Search,2025-03-27,4
2,Smart Search,2025-01-22,7
4,Smart Search,2025-02-11,6
5,Smart Search,2025-02-25,24
7,Smart Search,2025-01-25,7
9,Smart Search,2025-03-28,0
10,Smart Search,2025-03-29,18
11,Smart Search,2025-01-12,0
12,Smart Search,2025-03-17,0
14,Smart Search,2025-02-03,29
15,Smart Search,2025-01-30,26
16,Smart Search,2025-01-14,2
17,Smart Search,2025-02-04,7
19,Smart Search,2025-03-19,13
22,Smart Search,2025-04-03,21
24,Smart Search,2025-04-01,7
25,Smart Search,2025-04-23,23
26,Smart Search,2025-03-16,5
29,Smart Search,2025-02-28,1
31,Smart Search,2025-02-23,18
32,Smart Search,2025-01-08,7
33,Smart Search,2025-01-27,6
35,Smart Search,2025-03-21,25
36,Smart Search,2025-02-14,1
37,Smart Search,2025-02-10,5
38,Smart Search,2025-01-26,6
39,Smart Search,2025-02-05,8
40,Smart Search,2025-02-20,7
42,Smart Search,2025-01-15,3
43,Smart Search,2025-02-25,7
44,Smart Search,2025-01-13,0
47,Smart Search,2025-03-21,2
49,Smart Search,2025-01-28,22
50,Smart Search,2025-03-23,23
51,Smart Search,2025-03-13,3
52,Smart Search,2025-02-02,17
53,Smart Search,2025-02-24,6
57,Smart Search,2025-03-23,1
58,Smart Search,2025-03-22,1
60,Smart Search,2025-03-17,2
61,Smart Search,2025-01-29,4
62,Smart Search,2025-01-13,4
64,Smart Search,2025-04-02,7
65,Smart Search,2025-02-14,15
67,Smart Search,2025-01-13,2
68,Smart Search,2025-02-01,2
69,Smart Search,2025-01-29,16
70,Smart Search,2025-03-11,21
72,Smart Search,2025-03-04,4
73,Smart Search,2025-04-09,17
77,Smart Search,2025-03-13,26
78,Smart Search,2025-02-03,7
81,Smart Search,2025-04-22,22
82,Smart Search,2025-04-03,5
83,Smart Search,2025-03-30,6
85,Smart Search,2025-03-24,5
86,Smart Search,2025-04-22,30
87,Smart Search,2025-01-28,6
90,Smart Search,2025-01-27,6
93,Smart Search,2025-02-11,7
94,Smart Search,2025-04-12,20
95,Smart Search,2025-04-01,2
97,Smart Search,2025-01-29,0
98,Smart Search,2025-04-03,5
100,Smart Search,2025-01-30,22
102,Smart Search,2025-01-12,7
103,Smart Search,2025-02-12,2
106,Smart Search,2025-01-11,2
109,Smart Search,2025-02-14,4
111,Smart Search,2025-03-31,6
112,Smart Search,2025-03-10,5
113,Smart Search,2025-03-17,25
116,Smart Search,2025-01-24,5
117,Smart Search,2025-02-10,7
118,Smart Search,2025-01-27,9
119,Smart Search,2025-02-04,3
122,Smart Search,2025-02-07,4
124,Smart Search,2025-03-06,10
127,Smart Search,2025-02-17,1
128,Smart Search,2025-02-28,30
130,Smart Search,2025-03-29,22
131,Smart Search,2025-03-09,4
132,Smart Search,2025-01-21,9
133,Smart Search,2025-01-07,0
134,Smart Search,2025-01-20,5
137,Smart Search,2025-01-24,3
139,Smart Search,2025-02-26,2
142,Smart Search,2025-02-20,1
144,Smart Search,2025-03-24,6
145,Smart Search,2025-03-04,3
147,Smart Search,2025-02-04,2
148,Smart Search,2025-03-16,4
149,Smart Search,2025-01-02,0
151,Smart Search,2025-02-06,22
152,Smart Search,2025-04-27,29
155,Smart Search,2025-03-25,1
156,Smart Search,2025-02-18,5
157,Smart Search,2025-02-01,17
158,Smart Search,2025-02-13,6
159,Smart Search,2025-03-04,7
162,Smart Search,2025-01-15,14
163,Smart Search,2025-02-26,23
165,Smart Search,2025-01-29,6
167,Smart Search,2025-01-18,4
168,Smart Search,2025-04-08,17
170,Smart Search,2025-03-29,6
172,Smart Search,2025-03-19,0
173,Smart Search,2025-02-18,23
175,Smart Search,2025-03-06,17
177,Smart Search,2025-03-26,15
178,Smart Search,2025-03-14,5
180,Smart Search,2025-03-21,3
181,Smart Search,2025-02-13,2
182,Smart Search,2025-03-04,0
183,Smart Search,2025-01-10,7
184,Smart Search,2025-01-20,5
191,Smart Search,2025-01-21,10
194,Smart Search,2025-01-27,18
195,Smart Search,2025-03-23,13
196,Smart Search,2025-01-22,5
197,Smart Search,2025-01-21,4
199,Smart Search,2025-03-18,16
200,Smart Search,2025-04-04,23
202,Smart Search,2025-02-20,17
203,Smart Search,2025-03-27,18
204,Smart Search,2025-04-10,22
207,Smart Search,2025-03-23,12
209,Smart Search,2025-02-10,15
213,Smart Search,2025-04-23,29
216,Smart Search,2025-04-02,25
218,Smart Search,2025-01-22,6
220,Smart Search,2025-01-30,1
222,Smart Search,2025-02-17,4
223,Smart Search,2025-01-08,5
224,Smart Search,2025-03-20,3
225,Smart Search,2025-03-17,5
226,Smart Search,2025-02-14,15
227,Smart Search,2025-03-24,7
