user_id,signup_date,country,platform
1,2025-03-23,Egypt,Android
2,2025-01-15,UAE,iOS
3,2025-01-04,Saudi,Web
4,2025-02-05,Saudi,iOS
5,2025-02-01,Egypt,Web
6,2025-01-29,Egypt,iOS
7,2025-01-18,Egypt,iOS
8,2025-01-14,UAE,Web
9,2025-03-28,Saudi,Android
10,2025-03-11,Saudi,iOS
11,2025-01-12,Egypt,Android
12,2025-03-17,UAE,Web
13,2025-02-24,UAE,Web
14,2025-01-05,Egypt,Android
15,2025-01-04,Egypt,iOS
16,2025-01-12,Egypt,Web
17,2025-01-28,Egypt,Android
18,2025-01-30,Saudi,iOS
19,2025-03-06,Egypt,Web
20,2025-03-19,Egypt,Android
21,2025-01-04,Saudi,iOS
22,2025-03-13,Egypt,Android
23,2025-01-26,Egypt,Web
24,2025-03-25,Egypt,Web
25,2025-03-31,Egypt,Web
26,2025-03-11,Saudi,iOS
27,2025-02-23,Egypt,Web
28,2025-01-29,Saudi,Web
29,2025-02-27,Saudi,Android
30,2025-03-17,Egypt,Web
31,2025-02-05,Saudi,Android
32,2025-01-01,Egypt,iOS
33,2025-01-21,Egypt,Android
34,2025-03-31,UAE,Android
35,2025-02-24,UAE,Android
36,2025-02-13,UAE,iOS
37,2025-02-05,Egypt,Android
38,2025-01-20,Egypt,iOS
39,2025-01-28,Saudi,Android
40,2025-02-13,Egypt,Android
41,2025-01-14,Egypt,iOS
42,2025-01-12,Egypt,iOS
43,2025-02-18,Egypt,Android
44,2025-01-13,UAE,iOS
45,2025-02-15,Egypt,Web
46,2025-02-14,Saudi,iOS
47,2025-03-19,Egypt,Android
48,2025-02-03,Saudi,Android
49,2025-01-06,Saudi,Web
50,2025-02-28,Egypt,Android
51,2025-03-10,UAE,Web
52,2025-01-16,Saudi,iOS
53,2025-02-18,UAE,Web
54,2025-01-11,UAE,iOS
55,2025-03-12,Saudi,Web
56,2025-02-07,UAE,Android
57,2025-03-22,Egypt,iOS
58,2025-03-21,Egypt,Android
59,2025-02-16,Egypt,iOS
60,2025-03-15,Egypt,iOS
61,2025-01-25,Egypt,Web
62,2025-01-09,Egypt,Web
63,2025-01-06,UAE,iOS
64,2025-03-26,Egypt,Android
65,2025-01-30,Egypt,Android
66,2025-02-07,Saudi,iOS
67,2025-01-11,Egypt,Android
68,2025-01-30,UAE,Android
69,2025-01-13,Egypt,Android
70,2025-02-18,UAE,Android
71,2025-02-05,Saudi,Android
72,2025-02-28,Egypt,Android
73,2025-03-23,Egypt,Android
74,2025-02-16,UAE,Android
75,2025-01-21,Saudi,Web
76,2025-02-17,Saudi,Android
77,2025-02-15,Saudi,Android
78,2025-01-27,Egypt,iOS
79,2025-03-27,Egypt,Android
80,2025-02-04,Egypt,Web
81,2025-03-31,UAE,iOS
82,2025-03-29,Saudi,Android
83,2025-03-24,Egypt,Android
84,2025-01-10,Egypt,Web
85,2025-03-19,Egypt,Web
86,2025-03-23,Egypt,iOS
87,2025-01-22,Saudi,iOS
88,2025-03-10,Saudi,Android
89,2025-02-01,UAE,Web
90,2025-01-21,Egypt,Android
91,2025-03-01,Egypt,Web
92,2025-02-18,Saudi,iOS
93,2025-02-04,Saudi,iOS
94,2025-03-23,Saudi,iOS
95,2025-03-30,Saudi,Android
96,2025-03-13,Egypt,Android
97,2025-01-29,Saudi,Android
98,2025-03-29,Egypt,Android
99,2025-02-11,Egypt,iOS
100,2025-01-08,Egypt,Android
101,2025-01-30,Egypt,Android
102,2025-01-05,Saudi,Web
103,2025-02-10,Egypt,Web
104,2025-02-21,Saudi,Web
105,2025-02-04,UAE,Web
106,2025-01-09,Egypt,Android
107,2025-01-28,Egypt,Android
108,2025-03-14,Saudi,iOS
109,2025-02-10,Egypt,iOS
110,2025-01-28,Egypt,Android
111,2025-03-25,Egypt,Web
112,2025-03-05,Egypt,Android
113,2025-02-20,UAE,Android
114,2025-03-24,UAE,iOS
115,2025-02-28,Saudi,iOS
116,2025-01-19,UAE,iOS
117,2025-02-03,UAE,Android
118,2025-01-18,Egypt,Web
119,2025-02-01,UAE,Android
120,2025-03-13,Saudi,Android
121,2025-03-10,UAE,Web
122,2025-02-03,UAE,Web
123,2025-03-16,Egypt,Web
124,2025-02-24,Egypt,Web
125,2025-03-16,Egypt,iOS
126,2025-02-21,Egypt,iOS
127,2025-02-16,UAE,Android
128,2025-01-29,UAE,Android
129,2025-01-18,Egypt,Android
130,2025-03-07,Saudi,Android
131,2025-03-05,Egypt,iOS
132,2025-01-12,Egypt,iOS
133,2025-01-07,Egypt,Android
134,2025-01-15,Egypt,Android
135,2025-01-20,UAE,iOS
